home_team,home_score_home,away_score_home,home_possesion,home_total_Shots,home_fouls,home_yellow_cards,home_red_cards,total_goals_scored_home,total_goals_conceded_home,average_possession_home,average_shots_home,average_fouls_home,average_yellow_cards_home,average_red_cards_home,away_team,away_score_away,home_score_away,away_possession,away_total_Shots,away_fouls,away_yellow_cards,away_red_cards,total_goals_scored_away,total_goals_conceded_away,average_possession_away,average_shots_away,average_fouls_away,average_yellow_cards_away,average_red_cards_away
Athletic Club,287,174,41.15210526315789,10.573684210526316,11.121052631578948,1.931578947368421,0.05263157894736842,287,174,41.15210526315789,10.573684210526316,11.121052631578948,1.931578947368421,0.05263157894736842,Athletic Club,191,247,39.79052631578947,8.368421052631579,11.194736842105263,1.9210526315789473,0.09473684210526316,191,247,39.79052631578947,8.368421052631579,11.194736842105263,1.9210526315789473,0.09473684210526316
Atlético de Madrid,369,113,41.47052631578947,11.342105263157896,10.58421052631579,1.8210526315789475,0.07368421052631578,369,113,41.47052631578947,11.342105263157896,10.58421052631579,1.8210526315789475,0.07368421052631578,Atlético de Madrid,274,165,38.992063492063494,8.603174603174603,10.592592592592593,2.2116402116402116,0.10582010582010581,274,165,38.992063492063494,8.603174603174603,10.592592592592593,2.2116402116402116,0.10582010582010581
CA Osasuna,131,163,39.391228070175444,10.394736842105264,12.008771929824562,1.9649122807017543,0.09649122807017543,131,163,39.391228070175444,10.394736842105264,12.008771929824562,1.9649122807017543,0.09649122807017543,CA Osasuna,98,188,35.41842105263158,8.105263157894736,11.657894736842104,1.9649122807017543,0.09649122807017543,98,188,35.41842105263158,8.105263157894736,11.657894736842104,1.9649122807017543,0.09649122807017543
CD Leganés,77,84,42.39473684210526,10.93421052631579,14.539473684210526,2.460526315789474,0.07894736842105263,77,84,42.39473684210526,10.93421052631579,14.539473684210526,2.460526315789474,0.07894736842105263,CD Leganés,60,116,38.37894736842105,9.171052631578947,14.618421052631579,2.8157894736842106,0.09210526315789473,60,116,38.37894736842105,9.171052631578947,14.618421052631579,2.8157894736842106,0.09210526315789473
Cádiz CF,55,77,40.282456140350874,10.56140350877193,12.75438596491228,2.5964912280701755,0.07017543859649122,55,77,40.282456140350874,10.56140350877193,12.75438596491228,2.5964912280701755,0.07017543859649122,Cádiz CF,46,85,37.4280701754386,8.912280701754385,12.789473684210526,2.3859649122807016,0.14035087719298245,46,85,37.4280701754386,8.912280701754385,12.789473684210526,2.3859649122807016,0.14035087719298245
Córdoba CF,12,33,39.50526315789474,8.157894736842104,9.894736842105264,1.736842105263158,0.10526315789473684,12,33,39.50526315789474,8.157894736842104,9.894736842105264,1.736842105263158,0.10526315789473684,Córdoba CF,10,35,24.33157894736842,5.578947368421052,8.578947368421053,1.894736842105263,0.05263157894736842,10,35,24.33157894736842,5.578947368421052,8.578947368421053,1.894736842105263,0.05263157894736842
Deportivo Alavés,117,128,41.64912280701754,11.008771929824562,14.350877192982455,2.5964912280701755,0.11403508771929824,117,128,41.64912280701754,11.008771929824562,14.350877192982455,2.5964912280701755,0.11403508771929824,Deportivo Alavés,103,193,37.97964601769911,7.79646017699115,13.513274336283185,2.424778761061947,0.13274336283185842,103,193,37.97964601769911,7.79646017699115,13.513274336283185,2.424778761061947,0.13274336283185842
Elche CF,92,116,36.64736842105263,7.989473684210527,10.894736842105264,1.894736842105263,0.15789473684210525,92,116,36.64736842105263,7.989473684210527,10.894736842105264,1.894736842105263,0.15789473684210525,Elche CF,77,170,32.19052631578947,5.526315789473684,9.926315789473684,1.9894736842105263,0.10526315789473684,77,170,32.19052631578947,5.526315789473684,9.926315789473684,1.9894736842105263,0.10526315789473684
FC Barcelona,530,143,53.566489361702125,13.569148936170214,8.72872340425532,1.3297872340425532,0.06914893617021277,530,143,53.566489361702125,13.569148936170214,8.72872340425532,1.3297872340425532,0.06914893617021277,FC Barcelona,399,173,52.60899470899471,10.761904761904763,8.687830687830688,1.8148148148148149,0.06349206349206349,399,173,52.60899470899471,10.761904761904763,8.687830687830688,1.8148148148148149,0.06349206349206349
Getafe CF,195,160,34.74269005847953,9.368421052631579,12.75438596491228,2.2982456140350878,0.1286549707602339,195,160,34.74269005847953,9.368421052631579,12.75438596491228,2.2982456140350878,0.1286549707602339,Getafe CF,138,259,32.04970760233918,7.140350877192983,12.801169590643275,2.43859649122807,0.15204678362573099,138,259,32.04970760233918,7.140350877192983,12.801169590643275,2.43859649122807,0.15204678362573099
